PENSION GARANTIZADA UNIVERSAL (PGU);;;;;;;;
oct-24;;;;;;;;
(Número y Monto en miles de $);;;;;;;;
;;;;;;;;
Región;Cód. Comuna;Glosa Comuna;Nº Hombre;Monto m$ Hombre;Nº Mujer;Monto m$ Mujer;Total Nº;Total Mto. m$
5;5702;CATEMU;946;200.000;1.060;226.068;2.006;426.068
5;5703;LLAY-LLAY;1.538;324.053;1.861;395.870;3.399;719.922
5;5704;PANQUEHUE;431;91.568;427;90.787;858;182.355
5;5705;PUTAENDO;1.051;222.354;1.290;272.679;2.341;495.033
5;5706;SANTA MARIA;907;193.268;979;208.816;1.886;402.084
5;5801;QUILPUE;8.010;1.652.174;12.993;2.745.220;21.003;4.397.394
5;5802;LIMACHE;2.648;552.198;3.753;796.513;6.401;1.348.712
5;5803;OLMUE;1.158;240.511;1.452;308.029;2.610;548.541
5;5804;VILLA ALEMANA;5.739;1.187.762;9.260;1.952.900;14.999;3.140.663
6;6101;RANCAGUA;11.702;2.347.123;17.690;3.709.054;29.392;6.056.177
6;6102;CODEGUA;779;163.916;802;169.199;1.581;333.115
6;6103;COINCO;541;113.764;605;128.267;1.146;242.031
6;6104;COLTAUCO;1.342;284.775;1.439;307.566;2.781;592.341
6;6105;DOÑIHUE;1.230;257.430;1.467;311.965;2.697;569.395
6;6106;GRANEROS;1.597;334.044;1.934;409.356;3.531;743.400
6;6107;LAS CABRAS;1.778;376.627;1.847;391.907;3.625;768.534
6;6108;MACHALI;1.841;365.152;2.561;537.528;4.402;902.681
6;6109;MALLOA;955;202.925;1.005;213.080;1.960;416.005
6;6110;MOSTAZAL;1.538;324.191;1.671;354.732;3.209;678.924
6;6111;OLIVAR;745;155.727;851;180.417;1.596;336.144
6;6112;PEUMO;986;209.525;1.090;232.441;2.076;441.966
6;6113;PICHIDEGUA;1.416;300.748;1.525;324.265;2.941;625.014
6;6114;QUINTA DE TILCOCO;920;195.922;971;207.409;1.891;403.331
6;6115;RENGO;3.328;705.210;4.140;876.034;7.468;1.581.244
6;6116;REQUINOA;1.419;299.158;1.577;335.704;2.996;634.862
6;6117;SAN VICENTE;3.309;701.014;4.003;849.088;7.312;1.550.102
6;6201;PICHILEMU;1.273;266.965;1.455;307.726;2.728;574.691
6;6202;LA ESTRELLA;313;66.104;341;72.110;654;138.214
6;6203;LITUECHE;567;118.657;600;126.224;1.167;244.881
6;6204;MARCHIHUE;601;126.955;666;140.089;1.267;267.044
6;6205;NAVIDAD;649;137.575;696;147.448;1.345;285.022
6;6206;PAREDONES;613;130.465;651;139.507;1.264;269.972
6;6301;SAN FERNANDO;4.143;871.382;5.605;1.185.950;9.748;2.057.332
6;6302;CHEPICA;1.136;242.130;1.252;266.099;2.388;508.229
6;6303;CHIMBARONGO;2.159;459.024;2.534;539.339;4.693;998.363
6;6304;LOLOL;581;123.657;670;142.975;1.251;266.632
6;6305;NANCAGUA;1.053;223.318;1.237;262.225;2.290;485.543
6;6306;PALMILLA;869;184.833;858;181.846;1.727;366.679
6;6307;PERALILLO;791;168.221;944;198.975;1.735;367.196
6;6308;PLACILLA;545;116.114;640;136.525;1.185;252.639
6;6309;PUMANQUE;320;68.015;405;86.790;725;154.805
6;6310;SANTA CRUZ;2.626;556.424;3.410;721.639;6.036;1.278.063
7;7101;TALCA;11.936;2.510.052;17.511;3.692.277;29.447;6.202.329
7;7102;CONSTITUCION;2.796;589.667;3.134;664.915;5.930;1.254.582
7;7103;CUREPTO;1.015;215.192;1.100;233.214;2.115;448.407
7;7104;EMPEDRADO;239;51.035;276;58.964;515;109.998
7;7105;MAULE;1.714;363.961;1.995;421.817;3.709;785.777
7;7106;PELARCO;608;128.923;710;150.282;1.318;279.205
7;7107;PENCAHUE;638;135.798;650;138.337;1.288;274.135
7;7108;RIO CLARO;912;194.390;955;203.333;1.867;397.724
7;7109;SAN CLEMENTE;2.642;563.000;2.988;630.289;5.630;1.193.289
7;7110;SAN RAFAEL;538;114.047;651;137.364;1.189;251.411
7;7201;CAUQUENES;2.981;634.163;4.218;896.363;7.199;1.530.526
7;7202;CHANCO;691;147.229;830;176.255;1.521;323.484
7;7203;PELLUHUE;610;128.847;692;146.199;1.302;275.046
7;7301;CURICO;8.459;1.788.444;10.752;2.274.098;19.211;4.062.542
7;7302;HUALAÑE;831;177.493;979;207.104;1.810;384.597
7;7303;LICANTEN;514;108.014;597;127.147;1.111;235.161
7;7304;MOLINA;2.700;575.642;3.249;690.018;5.949;1.265.660
7;7305;RAUCO;695;148.240;771;164.460;1.466;312.700
7;7306;ROMERAL;864;183.353;1.008;213.955;1.872;397.308
7;7307;SAGRADA FAMILIA;1.239;263.820;1.246;266.388;2.485;530.209
7;7308;TENO;1.837;392.318;2.058;435.527;3.895;827.845
7;7309;VICHUQUEN;379;80.434;381;80.693;760;161.127
7;7401;LINARES;5.682;1.200.529;7.837;1.657.080;13.519;2.857.609
7;7402;COLBUN;1.338;284.110;1.586;337.660;2.924;621.770
7;7403;LONGAVI;2.113;450.422;2.245;473.578;4.358;924.000
7;7404;PARRAL;2.846;603.458;3.683;778.580;6.529;1.382.038
7;7405;RETIRO;1.354;288.474;1.577;333.917;2.931;622.391
7;7406;SAN JAVIER;2.929;622.188;3.655;778.400;6.584;1.400.588
7;7407;VILLA ALEGRE;1.027;218.215;1.314;278.939;2.341;497.154
7;7408;YERBAS BUENAS;1.117;238.567;1.174;249.668;2.291;488.235
16;16101;CHILLAN;10.251;2.150.980;15.747;3.315.247;25.998;5.466.227
16;16102;BULNES;1.474;311.514;2.007;424.343;3.481;735.858
16;16103;CHILLAN VIEJO;1.113;234.314;1.452;308.777;2.565;543.091
16;16104;EL CARMEN;934;199.155;1.101;234.998;2.035;434.153
16;16105;PEMUCO;494;104.830;632;132.218;1.126;237.048
16;16106;PINTO;778;164.016;966;204.571;1.744;368.587
16;16107;QUILLON;1.469;306.304;1.794;381.981;3.263;688.285
16;16108;SAN IGNACIO;1.143;243.964;1.374;291.153;2.517;535.117
16;16109;YUNGAY;1.256;266.026;1.620;343.683;2.876;609.709
16;16201;QUIRIHUE;902;190.668;1.153;244.510;2.055;435.178
